====================================================================================================
BALLISTICS VELOCITY CONVERSION
Feet per Second (fps) → Centimeters per Millisecond (cm/ms)
====================================================================================================

GUN / CARTRIDGE                                                     FPS |      CM/MS
308 Win 150 gr. SST®                                               2820 |    85.9536
308 Win 155 gr. A-MAX®                                             2850 |    86.8680
308 Win 155 gr. BTHP Match                                         2700 |    82.2960
308 Win 155 gr. FTX®                                               2785 |    84.8868
308 Win 165 gr. CX™                                                2610 |    79.5528
308 Win 165 gr. CX™                                                2750 |    83.8200
308 Win 165 gr. InterLock® SP                                      2700 |    82.2960
308 Win 165 gr. SST®                                               2840 |    86.5632
308 Win 168 gr. A-MAX®                                             2700 |    82.2960
308 Win 168 gr. BTHP                                               2700 |    82.2960
308 Win 168 gr. ELD® Match                                         2700 |    82.2960
308 Win 168 gr. ELD® Match                                         2840 |    86.5632
308 Win 178 gr. BTHP                                               2600 |    79.2480
308 Win 178 gr. ELD-X®                                             2600 |    79.2480
30-40 Krag 180 gr. InterLock® SP                                   2430 |    74.0664
30 TC 150 gr. SST®                                                 3000 |    91.4400
30-06 Springfield 125 gr. SST®                                     2700 |    82.2960
30-06 Springfield 150 gr. InterLock® SP                            2910 |    88.6968
30-06 Springfield 150 gr. SST®                                     3080 |    93.8784
30-06 Springfield 165 gr. CX™                                      2940 |    89.6112
30-06 Springfield 165 gr. SST®                                     2960 |    90.2208
30-06 Springfield 168 gr. ELD® Match                               2710 |    82.6008
30-06 Springfield 178 gr. ELD-X®                                   2750 |    83.8200
30-06 Springfield 180 gr. CX™                                      2600 |    79.2480
30-06 Springfield 180 gr. InterLock® SP                            2700 |    82.2960
30-06 Springfield 180 gr. SST®                                     2820 |    85.9536
300 H&H Mag 180 gr. InterBond®                                     2870 |    87.4776
300 RSAUM 178 gr. ELD-X®                                           2950 |    89.9160
300 RCM 150 gr. SST®                                               3310 |   100.8888
300 RCM 178 gr. ELD-X®                                             2900 |    88.3920
300 WSM 165 gr. InterLock®                                         3130 |    95.4024
300 WSM 180 gr. CX™                                                2900 |    88.3920
300 WSM 200 gr. ELD-X®                                             2820 |    85.9536
300 Win Mag 150 gr. InterLock® SP                                  3275 |    99.8220
300 Win Mag 165 gr. CX™                                            3260 |    99.3648
300 Win Mag 178 gr. ELD-X®                                         2960 |    90.2208
300 Win Mag 178 gr. ELD® Match                                     2960 |    90.2208
300 Win Mag 180 gr. CX™                                            2960 |    90.2208
300 Win Mag 180 gr. InterLock® SP                                  2960 |    90.2208
300 Win Mag 180 gr. SST®                                           3130 |    95.4024
300 Win Mag 195 gr. ELD® Match                                     2930 |    89.3064
300 Win Mag 200 gr. ELD-X®                                         2860 |    87.1728
300 Wby Mag 180 gr. CX™                                            3100 |    94.4880
300 Wby Mag 200 gr. ELD-X®                                         2960 |    90.2208
300 PRC 190 gr. CX™                                                3000 |    91.4400
300 PRC 212 gr. ELD-X®                                             2860 |    87.1728
300 PRC 225 gr. ELD® Match                                         2810 |    85.6488
300 Rem Ultra Mag 180 gr. CX™                                      3200 |    97.5360
300 Rem Ultra Mag 220 gr. ELD-X®                                   2910 |    88.6968
30-378 Wby Mag 220 gr. ELD-X®                                      3025 |    92.2020
7.62 x 39 123 gr. HP Match (20" Bbl)                               2350 |    71.6280
7.62 x 39 123 gr. SST® (20" Bbl)                                   2350 |    71.6280
303 British 150 gr. InterLock® SP                                  2685 |    81.8388
32 Win Special 165 gr. FTX®                                        2410 |    73.4568
8 x 57 196 gr. BTHP                                                2500 |    76.2000
338 Marlin Express 200 gr. FTX®                                    2565 |    78.1812
338 RCM 225 gr. SST®                                               2750 |    83.8200
338 Win Mag 200 gr. SST®                                           3030 |    92.3544
338 Win Mag 225 gr. CX™                                            2800 |    85.3440
338 Win Mag 225 gr. SST®                                           2840 |    86.5632
338 Win Mag 230 gr. ELD-X®                                         2810 |    85.6488
338 Lapua Mag 250 gr. BTHP                                         2860 |    87.1728
338 Lapua Mag 270 gr. ELD-X®                                       2800 |    85.3440
338 Lapua Mag 285 gr. ELD® Match                                   2745 |    83.6676
348 Win 200 gr. FTX®                                               2560 |    78.0288
350 Legend 165 gr. FTX®                                            2200 |    67.0560
350 Legend 170 gr. InterLock® SP                                   2200 |    67.0560
350 Legend 250 gr. SUB-X™                                          1050 |    32.0040
35 Rem 200 gr. FTX®                                                2225 |    67.8180
358 Win 200 gr. InterLock® SP                                      2475 |    75.4380
35 Whelen 200 gr. InterLock® SP                                    2910 |    88.6968
9.3 x 74R 286 gr. InterLock® SP-RP                                 2360 |    71.9328
9.3 x 62mm 286 gr. InterLock® SP-RP                                2360 |    71.9328
376 Steyr 225 gr. InterLock® SP-RP                                 2600 |    79.2480
376 Steyr 270 gr. InterLock® SP-RP                                 2600 |    79.2480
375 H&H Mag 250 gr. CX™                                            2700 |    82.2960
375 H&H Mag 270 gr. InterLock® SP-RP SPF                           2800 |    85.3440
375 H&H Mag 300 gr. DGS®                                           2530 |    77.1144
375 H&H Mag 300 gr. DGX® Bonded                                    2530 |    77.1144
375 Ruger 250 gr. CX™                                              2800 |    85.3440
375 Ruger 270 gr. InterLock® SP-RP                                 2840 |    86.5632
375 Ruger 300 gr. DGS®                                             2660 |    81.0768
375 Ruger 300 gr. DGX® Bonded                                      2660 |    81.0768
450-400 Nitro Express 3" 400 gr. DGS®                              2050 |    62.4840
450-400 Nitro Express 3" 400 gr. DGX® Bonded                       2050 |    62.4840
405 Win 300 gr. InterLock® SP                                      2200 |    67.0560
416 Ruger 400 gr. DGS®                                             2400 |    73.1520
416 Ruger 400 gr. DGX® Bonded                                      2400 |    73.1520
416 Rem Mag 400 gr. DGS®                                           2400 |    73.1520
416 Rem Mag 400 gr. DGX® Bonded                                    2400 |    73.1520
416 Rigby 400 gr. DGS®                                             2415 |    73.6092
416 Rigby 400 gr. DGX® Bonded                                      2415 |    73.6092
404 Jeffery 400 gr. DGS®                                           2300 |    70.1040
404 Jeffery 400 gr. DGX® Bonded                                    2300 |    70.1040
444 Marlin 265 gr. FTX®                                            2325 |    70.8660
444 Marlin 265 gr. InterLock® FP                                   2400 |    73.1520
450 Bushmaster 245 gr. InterLock®                                  2200 |    67.0560
450 Bushmaster 250 gr. FTX® (20" Bbl)                              2200 |    67.0560
450 Bushmaster 250 gr. FTX® (20" Bbl)                              2200 |    67.0560
450 Bushmaster 395 gr. SUB-X™ (20" Bbl)                            1050 |    32.0040
45-70 Govt 250 gr. MonoFlex®                                       2025 |    61.7220
45-70 Govt 325 gr. FTX®                                            2000 |    60.9600
45-70 Govt 410 gr. SUB-X™                                          1075 |    32.7660
450 Marlin 325 gr. FTX®                                            2225 |    67.8180
450 Nitro Express 3¼" 480 gr. DGS®                                 2150 |    65.5320
450 Nitro Express 3¼" 480 gr. DGX® Bonded                          2150 |    65.5320
458 Win Mag 500 gr. DGS® SPF                                       2140 |    65.2272
458 Win Mag 500 gr. DGX® Bonded SPF                                2140 |    65.2272
458 Lott 500 gr. DGS®                                              2300 |    70.1040
458 Lott 500 gr. DGX® Bonded                                       2300 |    70.1040
470 Nitro Express 500 gr. DGS®                                     2150 |    65.5320
470 Nitro Express 500 gr. DGX® Bonded                              2150 |    65.5320
500 Nitro Express 3" 570 gr. DGS®                                  2120 |    64.6176
500 Nitro Express 3" 570 gr. DGX® Bonded                           2120 |    64.6176
50 BMG 750 gr. A-MAX® (36" Bbl)                                    2815 |    85.8012

====================================================================================================
Total entries: 250

Conversion Factor: 1 fps = 0.03048 cm/ms
(1 foot = 30.48 cm, 1 second = 1000 milliseconds)
